Vuosi,Kk,Ha_Tunnus,Hallinnonala,Tv_Tunnus,Kirjanpitoyksikkö,PaaluokkaOsasto_TunnusP,PaaluokkaOsasto_sNimi,Luku_TunnusP,Luku_sNimi,Momentti_TunnusP,Momentti_sNimi,TakpT_TunnusP,TakpT_sNimi,TakpTr_sNimi,Tililuokka_Tunnus,Tililuokka_sNimi,Ylatiliryhma_Tunnus,Ylatiliryhma_sNimi,Tiliryhma_Tunnus,Tiliryhma_sNimi,Tililaji_Tunnus,Tililaji_sNimi,LkpT_Tunnus,LkpT_sNimi,Alkuperäinen_talousarvio,Lisätalousarvio,Voimassaoleva_talousarvio,Käytettävissä,Alkusaldo,Nettokertymä_ko_vuodelta,NettoKertymaAikVuosSiirrt,Nettokertymä,Loppusaldo
2022,1,28,Valtiovarainministeriön hallinnonala,300,Valtiovarainministeriö,28.,Valtiovarainministeriön hallinnonala,28.50.,Eläkkeet ja korvaukset,28.50.15.,Eläkkeet,28.50.15.4.,Korvaus kunnalliselle eläkelaitokselle (KPY),,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,4995000.0,0.0,4995000.0,4995000.0,0.0,0.0,0.0,0.0,0.0
2022,1,28,Valtiovarainministeriön hallinnonala,321,Tilastokeskus,28.,Valtiovarainministeriön hallinnonala,28.70.,Valtionhallinnon kehittäminen,28.70.01.,Julkisen hallinnon ICT:n ohjaus ja kehittäminen,4.20.28.70.01.,Julkisen hallinnon ICT:n ohjaus ja kehittäminen,,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,Tapahtumia,vain talousarviokirjanpidossa,0.0,0.0,0.0,364657.77,-364657.77,0.0,0.0,0.0,-364657.77
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,,,,,,,,,,2,VASTATTAVAA,20-21,OMA PÄÄOMA,20,VALTION PÄÄOMA,209,Tilikauden tuotto-/kulujäämä,20900000,Tilikauden tuotto-/kulujäämä,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408930.33,408930.33
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,261,Siirtovelat,26110000,Lomapalkkavelka,0.0,0.0,0.0,0.0,-669161.39,0.0,0.0,0.0,-669161.39
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,17,LYHYTAIKAISET SAAMISET,173,Siirtosaamiset,17398000,"Siirtosaamiset, sisäiset (T)",0.0,0.0,0.0,0.0,188626.18,0.0,0.0,-500.0,188126.18
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,262,Muut lyhytaikaiset velat,26200010,"Epäselvät erät (T), palkat",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2103.0,-2103.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,17,LYHYTAIKAISET SAAMISET,173,Siirtosaamiset,17390000,Muut siirtosaamiset (T),0.0,0.0,0.0,0.0,10232.0,0.0,0.0,0.0,10232.0
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,258,Kirjanpitoyksiköiden välisiet tilitykset,25800100,Ennakonpidätykset (T),0.0,0.0,0.0,0.0,-82348.8,0.0,0.0,21154.24,-61194.56
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,1,VASTAAVAA,15-19,VAIHTO- JA RAHOITUSOMAISUUS,17,LYHYTAIKAISET SAAMISET,174,Muut lyhytaikaiset saamiset,17490300,"Muut lyhytaikaiset saamiset (T), palkat",0.0,0.0,0.0,0.0,100.75,0.0,0.0,1513.34,1614.09
2022,1,28,Valtiovarainministeriön hallinnonala,306,Valtion taloudellinen tutkimuskeskus,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,Tapahtumia,vain liikekirjanpidossa,,2,VASTATTAVAA,24-29,VIERAS PÄÄOMA,25-26,LYHYTAIKAINEN,257,Ostovelat,25700300,"Ostovelat (T), matkalaskut",0.0,0.0,0.0,0.0,-506.55,0.0,0.0,506.55,0.0
